"","PC1_GE","PC2_GE","Sample","lib.size","norm.factors","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage","WBCin10_total","WBCin10_Neutro","WBCin10_Eo","WBCin10_Baso","WBCin10_Lympho","WBCin10_Mono","Diff_Neutro","Diff_Eo","Diff_Baso","Diff_Lympho","Diff_Mono","TimeTo100","WBC_ratio","WBC_ratio_log","PC1","PC2","PC3","PC4","PC5"
"30",-65.1474741215142,-15.445390046617,"F11_FWB_mum_end_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",-157.43210770618,-4.97460245030372,"F14_FWB_mum_start_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",-51.4246009207657,-33.2582218083313,"F14_FWB_mum_end_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",-37.2236300550845,50.9547246453407,"F15_FWB_mum_start_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",-8.45347775666852,-11.1805784922331,"F15_FWB_mum_end_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",-25.398846994399,52.4943905269617,"F16_FWB_mum_start_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",31.7938038117877,27.1441719792637,"F16_FWB_mum_end_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",36.2389491524053,47.0190882829805,"F17_FWB_mum_start_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",35.0228074028569,-30.1940181291489,"F17_FWB_mum_end_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",-31.1364646555322,73.4133503761368,"F18_FWB_mum_start_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",-81.5084416914357,-30.6553254826209,"F18_FWB_mum_end_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-88.9772421788408,35.264824365938,"F19_FWB_mum_start_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
