"","logFC","AveExpr","t","P.Value","adj.P.Val","Significance"
"sprn",1.51155430998351,-0.528660020959509,3.06521327227548,0.00125180053291607,0.102849180852557,"Not significant"
"sertad4",1.72739238381499,-1.03083090631424,3.06487011731165,0.0012531666944611,0.102849180852557,"Not significant"
"vtn",1.51725120664655,-2.0966693790298,3.04947200223418,0.00131590335526298,0.107301306497863,"Not significant"
"txk",-1.31069686784494,4.9766979132318,-3.04444260063517,0.00133701367637926,0.107940434541339,"Not significant"
"sowahc",1.54886908708315,-2.43977572694306,3.04354310952913,0.00134082191810983,0.107940434541339,"Not significant"
"s100a3",-1.58145708853071,-2.8252832259597,-3.0179775091986,0.00145332975924626,0.116257182450086,"Not significant"
"tmem151a",1.66078573510193,-2.61483553963562,3.01568195068119,0.00146384566649042,0.11636192062121,"Not significant"
"adamts14",-1.62556342609683,-1.25461839336469,-3.01294374030287,0.0014764808959669,0.116605086813381,"Not significant"
"ovos2",1.63805268243107,-1.29204762649708,3.01103317877116,0.00148535635548337,0.116605086813381,"Not significant"
"atp1a4",1.54435004973537,-1.50310602304357,3.00665719468673,0.00150587010428193,0.117485754617403,"Not significant"
"bend4",1.59891099925602,-2.49294218838519,2.99821075007898,0.00154620394997435,0.119892464562735,"Not significant"
"notch3",-1.37111472949289,1.90703748485593,-2.99288141125704,0.00157216137614046,0.121161875811215,"Not significant"
"prss21",-1.55853006449141,-2.50362290236021,-2.99052560312643,0.00158376287727613,0.121316236399351,"Not significant"
"rpl31",1.69345367973262,7.64138775911141,2.97357270546905,0.0016695976296282,0.1271207496438,"Not significant"
"tmem139",1.56463337613387,-2.99057688212108,2.95046235179642,0.00179349427329225,0.13573637197689,"Not significant"
"scarf2",1.38976206832052,-0.731307287016593,2.94645514711209,0.00181581603414244,0.136064308297114,"Not significant"
"pomgnt2",-1.43827563069783,-0.885182679861828,-2.94582341630238,0.00181935818515802,0.136064308297114,"Not significant"
"erich2",1.59126870129086,-3.70350720921232,2.94212624420593,0.00184021577782723,0.136814630682108,"Not significant"
"kif21a",1.55900489232133,0.468167336211766,2.93535882401226,0.00187896288803994,0.138288591408921,"Not significant"
