Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H7_SSB_pup_end_2018B_2	H7_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35325073.0	0.0	100.0	53.0	48.14748825228701	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H7_SSB_pup_start_2018B_1	H7_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39086294.0	0.0	100.0	53.0	37.09229880095837	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H7_SSB_pup_start_2018B_2	H7_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39086294.0	0.0	100.0	53.0	40.21770601070794	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H8_SSB_pup_end_2018B_1	H8_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32299965.0	0.0	100.0	54.0	45.652547618156916	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H8_SSB_pup_end_2018B_2	H8_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32299965.0	0.0	100.0	54.0	48.75875684407185	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H8_SSB_pup_start_2018B_1	H8_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66849247.0	0.0	100.0	53.0	44.11030019563972	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H8_SSB_pup_start_2018B_2	H8_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66849247.0	0.0	100.0	53.0	46.664988670152255	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N10_FWB_pup_end_2019B_1	N10_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26725503.0	0.0	100.0	53.0	44.19195756859904	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N10_FWB_pup_end_2019B_2	N10_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26725503.0	0.0	100.0	53.0	45.97784141353579	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N10_FWB_pup_start_2019B_1	N10_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17229415.0	0.0	100.0	53.0	37.2034002653898	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N10_FWB_pup_start_2019B_2	N10_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17229415.0	0.0	100.0	54.0	38.59784085009723	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N12_FWB_pup_end_2019B_1	N12_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28185244.0	0.0	100.0	52.0	50.035782692250386	100.0	100	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N12_FWB_pup_end_2019B_2	N12_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28185244.0	0.0	100.0	52.0	53.113282603760524	100.0	100	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N12_FWB_pup_start_2019B_1	N12_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41834684.0	0.0	100.0	52.0	44.18508201991571	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N12_FWB_pup_start_2019B_2	N12_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41834684.0	0.0	100.0	52.0	45.91748195731723	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N14_FWB_pup_end_2019B_1	N14_FWB_pup_end_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17914375.0	0.0	100.0	54.0	49.92377354543411	100.0	100	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N14_FWB_pup_end_2019B_2	N14_FWB_pup_end_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17914375.0	0.0	100.0	54.0	51.88309782060697	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N14_FWB_pup_start_2019B_1	N14_FWB_pup_start_2019B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50972785.0	0.0	100.0	53.0	41.39802305512461	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | N14_FWB_pup_start_2019B_2	N14_FWB_pup_start_2019B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50972785.0	0.0	100.0	53.0	43.21404212288034	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
