ID;rna_file;rna_lib_type;rna_batch;pair;mother;sex;date_birth;remark;year;timepoint_sample;sample_collection_date;sample_collection_Dec_days;delta_days_samples;age_days;tissue;colony;life_history_stage
FWB24;FWB24_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB24_N24;NA;F;NA;NA;2019_2020;1;20-12-2019;20;0;NA;blood;FWB;Mother
N24;N24_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB24_N24;FWB24;M;NA;NA;2019_2020;1;20-12-2019;20;0;2to5;blood;FWB;Pup
FWB24;FWB24_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB24_N24;NA;F;NA;NA;2019_2020;2;19-03-2020;110;90;NA;blood;FWB;Mother
N24;N24_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB24_N24;FWB24;M;NA;not sure about delta days;2019_2020;2;19-03-2020;110;90;93;blood;FWB;Pup
FWB4;FWB4_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB4_N4;NA;F;NA;NA;2019_2020;1;10-12-2019;10;0;NA;blood;FWB;Mother
N4;N4_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB4_N4;FWB4;M;NA;not sure about age;2019_2020;1;10-12-2019;10;0;NA;blood;FWB;Pup
FWB4;FWB4_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB4_N4;NA;F;NA;NA;2019_2020;2;12-02-2020;74;64;NA;blood;FWB;Mother
N4;N4_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB4_N4;FWB4;M;NA;not sure about age;2019_2020;2;12-02-2020;74;64;64;blood;FWB;Pup
FWB5;FWB5_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB5_N5;NA;F;NA;NA;2019_2020;1;10-12-2019;10;0;NA;blood;FWB;Mother
N5;N5_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB5_N5;FWB5;M;NA;NA;2019_2020;1;10-12-2019;10;0;2to5;blood;FWB;Pup
FWB5;FWB5_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB5_N5;NA;F;NA;NA;2019_2020;2;21-02-2020;83;73;NA;blood;FWB;Mother
N5;N5_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB5_N5;FWB5;M;NA;not sure about delta days;2019_2020;2;21-02-2020;83;73;76;blood;FWB;Pup
FWB6;FWB6_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB6_N6;NA;F;NA;NA;2019_2020;1;10-12-2019;10;0;NA;blood;FWB;Mother
